일시,가시리풍력,김녕풍력,동복풍력,신창풍력,행원풍력,풍력전체
2022-04-01,62935.2,1945.44,80467.2,13165.02,54349.62,212862.48
2022-04-02,75784.32,896.94,30153.6,5695.38,18131.04,130661.28
2022-04-03,95330.88,1351.62,42969.6,7599.6,40155.06,187406.76
2022-04-04,2175.84,781.02,13075.2,1176.48,12786.06,29994.6
2022-04-05,663.84,1059.3,25228.8,401.76,18029.22,45382.92
2022-04-06,9087.84,740.88,15091.2,342.72,17405.22,42667.86
2022-04-07,50889.6,5375.7,95126.4,1582.56,89509.5,242483.76
2022-04-08,21342.24,545.4,4089.6,1499.22,8990.7,36467.16
2022-04-09,33330.24,500.22,8092.8,5729.94,13844.88,61498.08
2022-04-10,59575.68,1126.98,13651.2,8990.28,34760.94,118105.08
2022-04-11,13500,1691.28,67046.4,5713.38,31757.1,119708.16
2022-04-12,10766.88,433.26,1670.4,2917.08,2781.6,18569.22
2022-04-13,45658.08,4960.8,166636.8,2477.52,93595.68,313328.88
2022-04-14,126259.2,2807.1,401904,10110.06,162580.62,703660.98
2022-04-15,97839.36,4084.92,91324.8,14273.28,88072.2,295594.56
2022-04-16,69014.88,1222.2,31334.4,6340.5,22594.62,130506.6
2022-04-17,99642.24,3091.68,61920,2956.68,53999.28,221609.88
2022-04-18,51685.92,882.18,22579.2,830.52,21430.98,97408.8
2022-04-19,49645.44,1719.54,34819.2,3467.16,36708.6,126359.94
2022-04-20,12791.52,884.88,14889.6,470.7,16923.24,45959.94
2022-04-21,9102.24,299.52,6652.8,3067.56,5585.1,24707.22
2022-04-22,41610.24,316.8,3283.2,7957.8,8928.42,62096.46
2022-04-23,5251.68,368.1,15062.4,570.78,5613.72,26866.68
2022-04-24,14387.04,144.72,172.8,1232.64,882.9,16820.1
2022-04-25,79362.72,3808.98,133488,9185.76,63518.22,289363.68
2022-04-26,138399.84,4252.14,123753.6,6216.3,69777.72,342399.6
2022-04-27,95732.64,3898.8,79286.4,10096.92,59610.36,248625.12
2022-04-28,5605.92,3146.76,66643.2,2835.9,48086.4,126318.18
2022-04-29,100149.12,2228.22,99331.2,11221.38,82071.54,295001.46
2022-04-30,20432.16,1686.42,44150.4,2972.52,37452.06,106693.56
2022-05-01,92460.96,3459.96,85564.8,8868.78,78508.98,268863.48
2022-05-02,43202.88,4407.3,115891.2,7211.52,63018.06,233730.96
2022-05-03,30873.6,524.88,10195.2,3117.96,7464.78,52176.42
2022-05-04,6808.32,364.86,2764.8,3868.56,3095.16,16901.7
2022-05-05,6098.4,1645.2,84729.6,8744.58,19251.9,120469.68
2022-05-06,908.64,1748.16,54172.8,1474.74,18210.24,76514.58
2022-05-07,52208.64,1426.86,31046.4,4636.08,35775.9,125093.88
2022-05-08,25758.72,4509.54,69580.8,2138.76,76485.3,178473.12
2022-05-09,22618.08,3439.44,74937.6,4053.78,56791.98,161840.88
2022-05-10,10775.52,3963.42,91785.6,1024.56,92954.04,200503.14
2022-05-11,895.68,365.4,13651.2,467.46,11155.62,26535.36
2022-05-12,9597.6,23.4,374.4,5788.44,237.84,16021.68
2022-05-13,66515.04,1958.94,39225.6,5437.44,37314.6,150451.62
2022-05-14,126479.52,8456.4,164188.8,11927.52,123975.78,435028.02
2022-05-15,133391.52,5178.42,106185.6,13890.42,97884.3,356530.26
2022-05-16,64101.6,1135.8,22147.2,1051.02,25734.6,114170.22
2022-05-17,2571.84,413.46,25344,436.32,5454.78,34220.4
2022-05-18,1647.36,132.3,57.6,362.52,75.3,2275.08
2022-05-19,2364.48,648,32140.8,769.14,6079.32,42001.74
2022-05-20,8170.56,1256.58,45129.6,1515.24,20656.26,76728.24
2022-05-21,82771.2,2966.22,62150.4,1001.34,49425.48,198314.64
2022-05-22,61735.68,4029.66,82800,177.3,74817.42,223560.06
2022-05-23,32109.12,2343.42,61344,1.62,54464.52,150262.68
2022-05-24,67858.56,1214.46,23961.6,2421,34880.7,130336.32
2022-05-25,4328.64,504.36,13852.8,1.08,6981.66,25668.54
2022-05-26,70400.16,3699.72,88329.6,3541.14,78058.68,244029.3
2022-05-27,43319.52,6786.72,121449.6,118.62,90244.44,261918.9
2022-05-28,25912.8,576.72,21139.2,3243.24,9610.32,60482.28
2022-05-29,41004,3610.44,157420.8,10452.06,67316.16,279803.46
2022-05-30,26939.52,2114.1,50342.4,2855.52,42168.54,124420.08
2022-05-31,49368.96,2527.74,46195.2,3813.12,45565.2,147470.22
2022-06-01,1964.16,387.72,8121.6,2340,7843.98,20657.46
2022-06-02,2187.36,141.84,201.6,1373.4,278.1,4182.3
2022-06-03,48.96,568.62,16444.8,42.48,6570,23674.86
2022-06-04,25128,3501.9,138902.4,7131.24,82435.8,257099.34
