일자,가시,김녕,동복,신창,행원,전체
2021-04-01,94354.56,3811.86,398851.2,4423.68,83329.92,584771.22
2021-04-02,72777.6,6010.2,406972.8,12659.94,123696.24,622116.78
2021-04-03,72010.08,4250.52,147686.4,11536.38,74550,310033.38
2021-04-04,190412.64,4660.02,246528,19215,110212.32,571027.98
2021-04-05,39188.16,2073.6,47664,7939.98,29959.8,126825.54
2021-04-06,95427.36,2963.88,56217.6,6351.66,41167.5,202128
2021-04-07,129132,2483.82,57427.2,4952.52,43717.38,237712.92
2021-04-08,130059.36,5940.36,106272,10459.26,73091.58,325822.56
2021-04-09,97663.68,3783.78,129772.8,9286.74,69697.44,310204.44
2021-04-10,39594.24,6313.32,157795.2,4228.2,103948.56,311879.52
2021-04-11,12215.52,5252.94,86054.4,4783.5,43143.18,151449.54
2021-04-12,146554.56,4627.26,263635.2,18651.78,84096.48,517565.28
2021-04-13,179769.6,6993.54,420480,18233.82,167289.96,792766.92
2021-04-14,135813.6,165.24,222912,16167.24,110085.54,485143.62
2021-04-15,31789.44,158.76,50832,4397.4,11649.72,98827.32
2021-04-16,1447.2,167.94,6998.4,1032.48,1209.3,10855.32
2021-04-17,66725.28,467.82,256665.6,12177.9,84901.26,420937.86
2021-04-18,119301.12,185.4,365644.8,17474.4,112672.08,615277.8
2021-04-19,112502.88,310.32,120211.2,1540.26,64756.14,299320.8
2021-04-20,5027.04,181.26,12988.8,1223.28,17367.3,36787.68
2021-04-21,267.84,128.16,48528,1379.7,13347.24,63650.94
2021-04-22,18558.72,81,120614.4,8612.28,6497.22,154363.62
2021-04-23,37997.28,145.26,266688,7296.48,90693,402820.02
2021-04-24,5647.68,40.68,122630.4,1251,52896,182465.76
2021-04-25,43454.88,170.82,70675.2,4313.34,28935.48,147549.72
2021-04-26,26902.08,176.22,203932.8,1317.6,77387.4,309716.1
2021-04-27,6840,150.66,33955.2,1972.62,6793.44,49711.92
2021-04-28,351.36,291.42,2188.8,662.04,235.38,3729
2021-04-29,49469.76,856.26,119088,4489.92,41463.84,215367.78
2021-04-30,51651.36,185.22,189676.8,5537.7,49255.08,296306.16
2021-05-01,30605.76,126.54,263347.2,11213.82,62150.94,367444.26
2021-05-02,50670.72,179.64,122601.6,11504.88,44044.38,229001.22
2021-05-03,42534.72,165.06,25632,7925.94,19274.76,95532.48
2021-05-04,132802.56,1.08,276076.8,12030.3,63861.18,484771.92
2021-05-05,74976.48,183.24,195552,553.14,39945.36,311210.22
2021-05-06,18126.72,165.42,42019.2,4765.5,15216.6,80293.44
2021-05-07,68171.04,141.66,138960,8512.38,52321.08,268106.16
2021-05-08,31929.12,132.3,16070.4,3935.34,7716.3,59783.46
2021-05-09,33762.24,163.08,17683.2,3040.92,20207.4,74856.84
2021-05-10,22520.16,141.84,47088,6120.72,15376.38,91247.1
2021-05-11,47913.12,1419.3,257702.4,5543.82,100089.9,412668.54
2021-05-12,74697.12,79.38,288345.6,10417.5,122897.22,496436.82
2021-05-13,24448.32,170.82,31363.2,2767.32,7135.2,65884.86
2021-05-14,351.36,768.42,64108.8,2595.06,27349.86,95173.5
2021-05-15,65639.52,1143.36,31161.6,9853.2,26558.88,134356.56
2021-05-16,85125.6,3270.6,111801.6,9286.2,37918.74,247402.74
2021-05-17,42395.04,10393.2,201974.4,5652.36,119373.36,379788.36
2021-05-18,22265.28,2642.58,58089.6,344.88,32791.44,116133.78
2021-05-19,10349.28,383.76,11664,929.16,6811.8,30138
2021-05-20,35114.4,4934.34,142300.8,5364.54,57107.94,244822.02
2021-05-21,94186.08,9084.96,218707.2,4955.94,91911.96,418846.14
2021-05-22,21039.84,2591.46,58032,1600.92,35268.54,118532.76
2021-05-23,11005.92,711.18,14140.8,1360.26,10990.56,38208.72
2021-05-24,61732.8,5265,100569.6,2650.32,58040.58,228258.3
2021-05-25,45315.36,5813.64,184896,6549.48,56772.18,299346.66
