method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,Unnamed: 0
IT-STGCN,0.3,rand,4,2,linear,50,0.9603785276412964,299.0661962032318,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,1.0042376518249512,385.33987760543823,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.973798930644989,281.0528128147125,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,1.0820505619049072,424.4200670719147,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9517638683319092,133.87565088272095,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9980427026748656,150.16676568984985,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9805155396461488,212.73258304595947,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9917899966239928,190.34559154510495,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9584228992462158,298.19966983795166,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9752952456474304,379.5467832088471,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,1.0628139972686768,282.0886549949646,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9994337558746338,260.9681048393249,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9744614958763124,222.080326795578,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.97480970621109,196.41326570510864,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9910809397697448,107.12235164642334,LRGCN,
STGCN,0.8,rand,4,2,linear,50,1.004999041557312,137.4036147594452,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.976503312587738,370.6335589885712,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9824994802474976,298.2539660930633,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.958406627178192,323.2048282623291,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.980337381362915,368.7957429885864,LRGCN,
STGCN,0.3,rand,4,2,linear,50,1.00427508354187,156.0179522037506,LRGCN,
STGCN,0.5,rand,4,2,linear,50,1.063394546508789,172.1826171875,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.984265923500061,176.47609114646912,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9936513304710388,178.37601494789124,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9732871651649476,399.1006898880005,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9801204204559326,353.33865547180176,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.9749678373336792,415.8238160610199,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.973575234413147,373.9594633579254,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9765647053718568,175.76867771148682,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9689456820487976,139.07207083702087,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9642435312271118,179.85759806632996,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9949935078620912,206.73437404632568,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.995660960674286,306.43589878082275,LRGCN,
