method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
IT-STGCN,0.8,rand,4,12,linear,50,1.8981868028640747,11.932501554489136,GComvGRU
STGCN,0.0,,4,12,,50,1.123324632644653,10.505605459213257,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.86522376537323,10.133893728256226,GComvGRU
STGCN,0.5,rand,4,12,linear,50,2.0493292808532715,9.994268417358398,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.5781331062316897,10.147261619567873,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.914501667022705,10.119240045547484,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.2605087757110596,11.398987293243408,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.3234491348266602,11.379740953445436,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.4293875694274902,11.391299486160278,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.678985595703125,11.451697826385498,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,2.0825603008270264,11.79116702079773,GComvGRU
STGCN,0.0,,4,12,,50,1.017076015472412,10.709641218185425,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.310153245925903,10.145267724990845,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.41572105884552,10.47722315788269,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.7613670825958252,10.424387216567991,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.6132359504699707,10.187031030654907,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.154865860939026,11.49761414527893,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.5967998504638672,11.94356369972229,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.3954381942749023,11.63942837715149,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.4165828227996826,11.399213075637816,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.966084361076355,11.432281255722046,GComvGRU
STGCN,0.0,,4,12,,50,1.1618882417678833,9.863039255142212,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.6677825450897217,9.9781813621521,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.6585594415664673,10.686907291412354,GComvGRU
STGCN,0.6,rand,4,12,linear,50,2.1465091705322266,11.179901599884031,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.84758734703064,10.235650300979614,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.17104971408844,11.67592453956604,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.3848339319229126,12.025214672088625,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.430046319961548,11.946933269500732,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.2490878105163574,11.79251480102539,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.7267179489135742,11.964931011199951,GComvGRU
STGCN,0.0,,4,12,,50,1.2491300106048584,10.26493239402771,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.415263533592224,9.913252830505373,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.4068816900253296,9.474530696868896,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.4428380727767944,9.288432121276855,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.8028632402420044,8.800797462463379,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.2383599281311035,10.743206977844238,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.3794593811035156,10.01391100883484,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.260743260383606,9.710342645645142,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.6609728336334229,8.998044490814209,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.4883748292922974,7.486229181289673,GComvGRU
STGCN,0.0,,4,12,,50,1.2839562892913818,6.258805274963379,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.4775735139846802,7.799354791641235,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.816833257675171,7.182819128036499,GComvGRU
STGCN,0.6,rand,4,12,linear,50,2.006828784942627,5.954286575317383,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.6936043500900269,5.59284257888794,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.2657527923583984,7.656527042388916,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.2100473642349243,6.761911630630493,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.4677369594573977,8.662037372589111,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.501489281654358,8.01869010925293,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.47796893119812,5.885810613632202,GComvGRU
STGCN,0.0,,4,12,,50,1.231367588043213,5.290085077285767,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.7253336906433103,5.293505907058716,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.5897382497787476,5.260078191757202,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.5547122955322266,5.267182111740112,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.680092453956604,5.27591347694397,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.149583101272583,5.8426055908203125,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.329212307929993,5.8989081382751465,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.4230908155441284,5.803312301635742,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.3826133012771606,5.803982973098755,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.6002812385559082,5.8059728145599365,GComvGRU
STGCN,0.0,,4,12,,50,1.215287446975708,5.214923143386841,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.3729088306427002,5.2601306438446045,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.6107522249221802,11.725260019302368,GComvGRU
STGCN,0.6,rand,4,12,linear,50,2.4041378498077397,12.075804710388184,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.948850154876709,11.467190980911257,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.2282360792160034,10.33226752281189,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.5033806562423706,11.801726579666138,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.2194788455963137,11.672985553741457,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.3666589260101318,11.596161842346191,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.8426262140274048,11.840835809707642,GComvGRU
STGCN,0.0,,4,12,,50,1.2299752235412598,10.077963829040527,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.5656040906906128,10.131252765655518,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.5517534017562866,9.946212530136108,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.5393160581588743,10.318272352218628,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.3757885694503784,10.50912857055664,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.170759201049805,12.178571701049805,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.5737483501434326,12.015658617019652,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.7882277965545654,12.04892373085022,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.4031294584274292,12.144859313964844,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.6787534952163696,12.482621669769289,GComvGRU
STGCN,0.0,,4,12,,50,1.298019289970398,10.24766969680786,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.8036351203918457,10.128151893615724,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.5807523727416992,10.113404512405396,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.5396305322647097,10.193628549575806,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.977762222290039,10.234339475631714,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.151916742324829,11.884771585464478,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.321486234664917,11.840806007385254,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.3161778450012207,12.045872926712036,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.4584425687789917,11.869280576705933,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.6458560228347778,11.899410247802734,GComvGRU
STGCN,0.0,,4,12,,50,1.3286519050598145,10.350931644439695,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.6503779888153076,10.121851682662964,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.3283792734146118,10.242842674255373,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.732789158821106,10.29150104522705,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.851020574569702,10.4846613407135,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.1376328468322754,11.460256576538086,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.2812395095825195,12.518340826034546,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.2813297510147097,12.28407335281372,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.6222540140151978,11.48900055885315,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.2782418727874756,11.236800909042358,GComvGRU
STGCN,0.0,,4,12,,50,1.188903570175171,10.113023519515991,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.8020284175872805,10.52882194519043,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.6492040157318115,9.846714496612549,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.4839543104171753,9.8453106880188,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.9733374118804927,9.792116641998293,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.1435376405715942,11.279452085494995,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.7396990060806274,11.017488718032835,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.4723917245864868,11.81898283958435,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,2.166757345199585,12.478695631027222,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.7600444555282593,11.88834285736084,GComvGRU
STGCN,0.0,,4,12,,50,1.1849385499954224,10.24228835105896,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.621216058731079,10.13631796836853,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.547813892364502,10.16067624092102,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.9694745540618896,10.28689742088318,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.646048069000244,10.46878743171692,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.1696175336837769,11.928098917007446,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.1979796886444092,12.091655015945436,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.654462218284607,11.571503162384031,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.429275393486023,10.037229061126707,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.628791570663452,10.146148920059204,GComvGRU
STGCN,0.0,,4,12,,50,1.3032605648040771,8.389822959899902,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.2937686443328855,8.45393443107605,GComvGRU
STGCN,0.5,rand,4,12,linear,50,2.4772708415985107,8.831072568893433,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.39301860332489,8.740533590316772,GComvGRU
