method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
STGCN,0.5,rand,4,12,linear,50,1.2332353591918943,3.360532283782959,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.2881340980529783,3.38379168510437,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.2466027736663818,3.351609230041504,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.1733380556106567,5.014950513839722,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.210816502571106,4.881746292114258,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.4553682804107666,4.839210510253906,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.1778175830841064,4.792574644088745,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.314544677734375,4.9257659912109375,EvolveGCNH
STGCN,0.0,,4,12,,50,1.146822214126587,3.600271224975586,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.221259832382202,3.4929327964782715,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.2734640836715698,3.3732552528381348,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.4560449123382568,3.401599884033203,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.4089725017547607,3.4774861335754395,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.122475266456604,5.006632328033447,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.253967046737671,5.029491662979126,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.2268800735473633,4.905292749404907,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.17473304271698,4.986603021621704,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.2501758337020874,4.894730567932129,EvolveGCNH
STGCN,0.0,,4,12,,50,1.1135566234588623,3.4935519695281982,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.282143473625183,3.5631442070007324,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.3923426866531372,3.630684614181519,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.2565267086029053,3.5985107421875,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.354231357574463,3.5919246673583984,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.2857955694198608,4.997330904006958,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2439846992492676,5.201924800872803,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.3357313871383667,4.996482849121094,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.1921718120574951,5.25778079032898,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.2123994827270508,4.9145214557647705,EvolveGCNH
STGCN,0.0,,4,12,,50,1.2003484964370728,3.611155271530152,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.1962991952896118,3.5525801181793213,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.3510841131210327,3.6725478172302246,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.3007726669311523,3.5241692066192627,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.2833828926086426,3.4113805294036865,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.2303017377853394,4.8577561378479,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.371771216392517,4.809826612472534,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.2778902053833008,4.998125553131104,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2994210720062256,4.890455722808838,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.2441397905349731,5.0245513916015625,EvolveGCNH
STGCN,0.0,,4,12,,50,1.1665457487106323,3.567304849624634,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2462189197540283,3.433276653289795,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.3487112522125244,3.507167339324951,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.2484303712844849,3.529876708984375,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.3858442306518557,3.545496225357056,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.190328598022461,4.949397087097168,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.3144482374191284,4.920748949050903,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.26429283618927,4.9169251918792725,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2469500303268433,4.918323040008545,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.1771198511123655,4.980981826782227,EvolveGCNH
STGCN,0.0,,4,12,,50,1.2121516466140747,3.5779449939727783,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.4514613151550293,3.432435989379883,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.306074619293213,3.4548258781433105,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.1940699815750122,3.4691154956817627,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.254341721534729,3.5514307022094727,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.254019260406494,4.6999146938323975,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2110689878463743,4.653019666671753,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.259809970855713,4.873475790023804,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2488888502120972,5.030380964279175,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.2976562976837158,4.927004337310791,EvolveGCNH
STGCN,0.0,,4,12,,50,1.2000373601913452,3.4793148040771484,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.280583143234253,3.469910860061645,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.2368417978286743,3.427753448486328,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.3173682689666748,3.296811580657959,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.2601370811462402,3.3364813327789307,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.248654007911682,4.906543016433716,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.190931797027588,4.9934961795806885,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.3004984855651855,5.056843280792236,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.305126428604126,5.167183876037598,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.2523472309112549,5.139810800552368,EvolveGCNH
STGCN,0.0,,4,12,,50,1.2102901935577393,3.461786985397339,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2207847833633425,3.426485776901245,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.268081545829773,3.5153462886810303,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.2954251766204834,3.5674045085906982,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.3158377408981323,3.5883607864379883,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.207658052444458,5.075467586517334,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2456982135772705,5.101581573486328,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.269592046737671,4.947574853897095,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2718307971954346,5.074904203414917,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.31967031955719,5.0711212158203125,EvolveGCNH
STGCN,0.0,,4,12,,50,1.1674636602401731,3.557879447937012,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.3154876232147217,3.48266339302063,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.2237868309020996,3.4426486492156982,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.3085885047912598,3.39225172996521,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.240852117538452,3.36205792427063,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.2283145189285278,4.677112102508545,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2700074911117554,4.948479175567627,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.228127360343933,5.042307615280151,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2718671560287476,5.425370454788208,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.2879923582077026,5.365545988082886,EvolveGCNH
STGCN,0.0,,4,12,,50,1.1803728342056274,3.72322416305542,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.3448259830474854,3.449528455734253,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.3923609256744385,3.459531784057617,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.2086344957351685,3.7375874519348153,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.356782078742981,3.75502347946167,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.2177519798278809,5.135717391967773,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.1986528635025024,5.292686462402344,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.262561917304993,5.404738664627075,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.278360366821289,5.287246942520142,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.3586266040802002,5.265308141708374,EvolveGCNH
STGCN,0.0,,4,12,,50,1.163033127784729,3.814115524291992,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.201779007911682,3.76466703414917,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.214735746383667,3.675431251525879,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.3070073127746582,3.804774284362793,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.3158657550811768,3.8505494594573975,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.2312767505645752,5.2920081615448,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2199581861495972,5.23886251449585,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.2905353307724,5.223572731018066,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2557268142700195,5.148774862289429,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.4298003911972046,5.1042320728302,EvolveGCNH
STGCN,0.0,,4,12,,50,1.2207263708114624,3.6547093391418457,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2375144958496094,3.9473702907562256,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.261261820793152,4.076314926147461,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.277524471282959,3.844334602355957,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.2902100086212158,4.084356307983398,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.206817865371704,5.769816160202026,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.3732675313949585,5.36166787147522,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.1597912311553955,5.06464695930481,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2688360214233398,5.232566833496094,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.1882903575897217,5.282381057739258,EvolveGCNH
STGCN,0.0,,4,12,,50,1.322567343711853,3.4260475635528564,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2386049032211304,3.529083728790283,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.2507728338241575,3.472965717315674,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.2566362619400024,3.478935956954956,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.2996740341186523,3.4704651832580566,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.1627508401870728,5.021351099014282,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2924070358276367,4.781772375106812,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.3684015274047852,5.090746402740479,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.181241154670715,5.172420263290405,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.3793516159057615,4.846784830093384,EvolveGCNH
STGCN,0.0,,4,12,,50,1.1953465938568115,3.4123165607452397,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.30000102519989,3.2988014221191406,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.3550673723220823,3.4042701721191406,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.2992010116577148,3.04939866065979,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.3080594539642334,2.8827362060546875,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.2467670440673828,4.191126346588135,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.190553069114685,4.260482549667358,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.238550066947937,4.25732421875,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2350220680236816,4.321413278579712,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.2379941940307615,4.27591347694397,EvolveGCNH
STGCN,0.0,,4,12,,50,1.2395658493041992,3.091557741165161,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2012312412261963,2.937990427017212,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.2919681072235107,2.9514591693878174,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.2118703126907349,2.992518424987793,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.2825965881347656,2.916649103164673,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.1363033056259155,4.213152885437012,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.1684238910675049,4.174962520599365,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.2545127868652344,2.844242572784424,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.3128371238708496,2.9489905834198,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.3673797845840454,3.3456196784973145,EvolveGCNH
STGCN,0.0,,4,12,,50,1.184681057929993,2.189788818359375,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2437419891357422,1.815473556518555,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.29880952835083,2.1260101795196533,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.339044451713562,1.808262825012207,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.4527233839035034,1.782027244567871,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.314726710319519,2.857257127761841,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2322372198104858,2.9510130882263184,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.2485014200210571,2.438185691833496,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2242776155471802,2.985391616821289,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.4968740940093994,4.06173300743103,EvolveGCNH
STGCN,0.0,,4,12,,50,1.1012334823608398,2.8631632328033447,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2745680809020996,2.858673095703125,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.3089152574539185,2.816382646560669,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.1905425786972046,2.0489494800567627,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.2521296739578247,2.0723063945770264,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.220008373260498,2.444691896438598,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2409257888793943,2.435149669647217,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.1953381299972534,2.4407763481140137,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2376104593276978,2.4415228366851807,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.1919169425964355,2.453461170196533,EvolveGCNH
STGCN,0.0,,4,12,,50,1.22776460647583,1.940584659576416,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2199004888534546,2.2193849086761475,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.3115352392196655,2.034066200256348,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.364404320716858,1.8209991455078125,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.40291166305542,1.8286712169647217,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.267750859260559,2.460179567337036,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.3545856475830078,2.34376859664917,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.409026265144348,2.3100593090057373,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.3182188272476196,2.3146209716796875,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.3633217811584473,2.324248790740967,EvolveGCNH
STGCN,0.0,,4,12,,50,1.1699917316436768,1.706352472305298,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.213887095451355,1.7576522827148438,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.233717441558838,1.6936366558074951,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.219849705696106,1.727424383163452,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.2732802629470823,1.709488868713379,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.2081714868545532,2.4133524894714355,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2719992399215698,2.3997151851654053,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.2864418029785156,2.329429864883423,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2448062896728516,2.3673319816589355,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.3609737157821655,2.351172924041748,EvolveGCNH
STGCN,0.0,,4,12,,50,1.2389121055603027,1.7244503498077393,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2159197330474854,1.7109084129333496,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.2300138473510742,1.6733694076538086,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.2830798625946045,1.6995866298675537,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.1808855533599854,1.739879131317139,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.1445441246032717,2.370974540710449,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2492668628692627,2.392956018447876,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.1907695531845093,5.637858629226685,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2542716264724731,5.449439764022827,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.25131094455719,5.773386716842651,EvolveGCNH
STGCN,0.0,,4,12,,50,1.1327118873596191,3.77036714553833,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2342993021011353,2.7159645557403564,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.252389669418335,2.781461477279663,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.3147963285446167,3.791213274002075,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.430044651031494,3.699704885482788,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.1866159439086914,5.010754346847534,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2651797533035278,4.999687910079956,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.2821544408798218,5.03134560585022,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2402538061141968,4.83014726638794,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.3256844282150269,4.992696046829224,EvolveGCNH
STGCN,0.0,,4,12,,50,1.2088208198547363,3.772306203842163,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2266595363616943,3.682762384414673,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.2841808795928955,3.567753553390503,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.1619027853012085,3.538564920425415,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.3920435905456543,3.649202823638916,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.274104356765747,5.035202026367188,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2866603136062622,5.022237300872803,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.2036319971084597,5.219187021255493,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.3052382469177246,5.036885023117065,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.0249416828155518,4.901503324508667,EvolveGCNH
STGCN,0.0,,4,12,,50,1.1179701089859009,3.5022425651550293,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2223690748214722,3.5521035194396973,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.2977005243301392,3.55429482460022,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.265773057937622,3.4773411750793457,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.4071037769317627,3.494560956954956,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.21973979473114,4.919474840164185,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.2287243604660034,4.958780527114868,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.1055375337600708,4.8447206020355225,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.2914646863937378,4.976792812347412,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.2690774202346802,4.884760141372681,EvolveGCNH
STGCN,0.0,,4,12,,50,1.166344404220581,3.399533271789551,EvolveGCNH
STGCN,0.3,rand,4,12,linear,50,1.2338402271270752,3.526867151260376,EvolveGCNH
STGCN,0.5,rand,4,12,linear,50,1.3993070125579834,3.531134843826294,EvolveGCNH
STGCN,0.6,rand,4,12,linear,50,1.418362021446228,3.50295090675354,EvolveGCNH
STGCN,0.8,rand,4,12,linear,50,1.314773440361023,3.583434820175171,EvolveGCNH
IT-STGCN,0.0,,4,12,,50,1.1638586521148682,5.078254222869873,EvolveGCNH
IT-STGCN,0.3,rand,4,12,linear,50,1.1981637477874756,4.98695707321167,EvolveGCNH
IT-STGCN,0.5,rand,4,12,linear,50,1.2201234102249146,4.890424489974976,EvolveGCNH
IT-STGCN,0.6,rand,4,12,linear,50,1.20943284034729,5.078587532043457,EvolveGCNH
IT-STGCN,0.8,rand,4,12,linear,50,1.303938627243042,5.023138761520386,EvolveGCNH
STGCN,0.0,,4,12,,50,1.1819745302200315,2.224684476852417,EvolveGCNO
STGCN,0.3,rand,4,12,linear,50,1.2855324745178225,2.228179216384888,EvolveGCNO
STGCN,0.5,rand,4,12,linear,50,1.202455759048462,2.1765153408050537,EvolveGCNO
STGCN,0.6,rand,4,12,linear,50,1.2925939559936523,2.234215259552002,EvolveGCNO
STGCN,0.8,rand,4,12,linear,50,1.4492552280426023,2.262674570083618,EvolveGCNO
IT-STGCN,0.0,,4,12,,50,1.3352121114730835,3.7800910472869873,EvolveGCNO
IT-STGCN,0.3,rand,4,12,linear,50,1.254607915878296,4.0340070724487305,EvolveGCNO
IT-STGCN,0.5,rand,4,12,linear,50,1.1977427005767822,3.58173942565918,EvolveGCNO
IT-STGCN,0.6,rand,4,12,linear,50,1.2287238836288452,3.624919176101685,EvolveGCNO
IT-STGCN,0.8,rand,4,12,linear,50,1.3432601690292358,3.573261260986328,EvolveGCNO
STGCN,0.0,,4,12,,50,1.300118923187256,2.164674758911133,EvolveGCNO
STGCN,0.3,rand,4,12,linear,50,1.2728084325790403,2.214620351791382,EvolveGCNO
STGCN,0.5,rand,4,12,linear,50,1.279140830039978,2.2060506343841557,EvolveGCNO
STGCN,0.6,rand,4,12,linear,50,1.2398825883865356,2.216926336288452,EvolveGCNO
STGCN,0.8,rand,4,12,linear,50,1.257936954498291,2.2191739082336426,EvolveGCNO
IT-STGCN,0.0,,4,12,,50,1.261791467666626,3.6360487937927246,EvolveGCNO
IT-STGCN,0.3,rand,4,12,linear,50,1.3638590574264526,3.621623754501343,EvolveGCNO
IT-STGCN,0.5,rand,4,12,linear,50,1.2864503860473633,3.563493490219116,EvolveGCNO
IT-STGCN,0.6,rand,4,12,linear,50,1.1954549551010132,3.5966453552246094,EvolveGCNO
IT-STGCN,0.8,rand,4,12,linear,50,1.2762482166290283,3.6551506519317623,EvolveGCNO
STGCN,0.0,,4,12,,50,1.240275740623474,2.1452174186706543,EvolveGCNO
STGCN,0.3,rand,4,12,linear,50,1.2468016147613523,2.1601481437683105,EvolveGCNO
STGCN,0.5,rand,4,12,linear,50,1.216084599494934,2.1822521686553955,EvolveGCNO
STGCN,0.6,rand,4,12,linear,50,1.2343400716781616,2.177694082260132,EvolveGCNO
STGCN,0.8,rand,4,12,linear,50,1.2992606163024902,2.3293089866638184,EvolveGCNO
IT-STGCN,0.0,,4,12,,50,1.279394268989563,3.661525249481201,EvolveGCNO
IT-STGCN,0.3,rand,4,12,linear,50,1.234381079673767,3.715520620346069,EvolveGCNO
IT-STGCN,0.5,rand,4,12,linear,50,1.2051129341125488,3.7452704906463614,EvolveGCNO
IT-STGCN,0.6,rand,4,12,linear,50,1.2232844829559326,4.012468338012695,EvolveGCNO
IT-STGCN,0.8,rand,4,12,linear,50,1.4387332201004028,3.759277105331421,EvolveGCNO
STGCN,0.0,,4,12,,50,1.2086471319198608,2.2687833309173584,EvolveGCNO
STGCN,0.3,rand,4,12,linear,50,1.4570746421813965,2.223067283630371,EvolveGCNO
STGCN,0.5,rand,4,12,linear,50,1.439753532409668,2.182518243789673,EvolveGCNO
STGCN,0.6,rand,4,12,linear,50,1.290700912475586,2.2648277282714844,EvolveGCNO
STGCN,0.8,rand,4,12,linear,50,1.3580859899520874,2.2830257415771484,EvolveGCNO
IT-STGCN,0.0,,4,12,,50,1.2766278982162476,3.700246334075928,EvolveGCNO
IT-STGCN,0.3,rand,4,12,linear,50,1.2352416515350342,3.81900405883789,EvolveGCNO
IT-STGCN,0.5,rand,4,12,linear,50,1.2115147113800049,3.901341199874878,EvolveGCNO
IT-STGCN,0.6,rand,4,12,linear,50,1.2820320129394531,3.6654574871063232,EvolveGCNO
IT-STGCN,0.8,rand,4,12,linear,50,1.3085495233535769,3.713366985321045,EvolveGCNO
STGCN,0.0,,4,12,,50,1.2395756244659424,2.202156543731689,EvolveGCNO
STGCN,0.3,rand,4,12,linear,50,1.3874061107635498,2.1983609199523926,EvolveGCNO
STGCN,0.5,rand,4,12,linear,50,1.1954113245010376,2.2905755043029785,EvolveGCNO
STGCN,0.6,rand,4,12,linear,50,1.288849115371704,2.250208854675293,EvolveGCNO
STGCN,0.8,rand,4,12,linear,50,1.4517356157302856,2.274142026901245,EvolveGCNO
IT-STGCN,0.0,,4,12,,50,1.2417017221450806,3.680169105529785,EvolveGCNO
IT-STGCN,0.3,rand,4,12,linear,50,1.1708601713180542,3.608124494552612,EvolveGCNO
IT-STGCN,0.5,rand,4,12,linear,50,1.470270037651062,3.607912302017212,EvolveGCNO
IT-STGCN,0.6,rand,4,12,linear,50,1.2546306848526,3.6038763523101807,EvolveGCNO
IT-STGCN,0.8,rand,4,12,linear,50,1.249332070350647,3.580446243286133,EvolveGCNO
STGCN,0.0,,4,12,,50,1.2424442768096924,2.031028509140014,EvolveGCNO
STGCN,0.3,rand,4,12,linear,50,1.4290199279785156,2.090402841567993,EvolveGCNO
STGCN,0.5,rand,4,12,linear,50,1.3467296361923218,2.133965015411377,EvolveGCNO
STGCN,0.6,rand,4,12,linear,50,1.2082388401031494,2.199115514755249,EvolveGCNO
