dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.9220290184021,6.132011651992798,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.4461649656295776,5.592413902282715,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.5068060159683228,6.359670400619507,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.907291054725647,5.55091667175293,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.1571331024169922,6.7362961769104,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.4686954021453855,6.59343409538269,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.1930547952651978,6.473167657852173,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.745399832725525,6.253728628158569,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.6305603981018066,9.157805919647217,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.591900110244751,7.113934516906738,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.7662875652313232,7.787511825561523,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,2.202335834503174,8.762324094772339,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.2003231048583984,6.92899489402771,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.571840763092041,7.349708080291748,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.7618545293807983,8.24063777923584,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.2978278398513794,8.044834613800049,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.3816605806350708,5.958752155303955,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.8770400285720823,5.990607261657715,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.918732523918152,6.0191330909729,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.6902074813842771,5.811947584152222,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.3527177572250366,7.081887722015381,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.306058049201965,6.649281740188599,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.531157374382019,6.345835208892822,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,2.3951048851013184,6.353030920028687,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.4601044654846191,5.727033376693726,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.1979626417160034,6.816334009170532,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.6863033771514893,6.515170574188232,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,2.101722240447998,5.951784372329712,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.4012104272842407,7.1371009349823,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.3565800189971924,6.675805568695068,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.3285908699035645,7.16340184211731,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.3330007791519165,6.419769763946533,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.8891907930374143,6.209061861038208,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.4962557554244995,6.228890419006348,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.872734546661377,6.103253602981567,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,2.081157684326172,6.287929058074951,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.3810477256774902,7.481719493865967,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.2374986410140991,6.798385381698608,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.5160866975784302,6.95836877822876,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.5353862047195437,7.022469997406006,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.7528939247131348,6.072594165802002,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.569990158081055,6.2782883644104,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.809453129768372,6.208356857299805,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.6203525066375732,5.925068140029907,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.5434578657150269,6.358193635940552,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.4703532457351685,7.155748128890991,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.410958170890808,6.954010009765625,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.6797457933425903,6.445282459259033,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.4447578191757202,6.36375880241394,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.3059465885162354,6.535522699356079,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.5145894289016724,6.063692092895508,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.7726359367370603,5.99926495552063,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.3121103048324585,7.489873886108398,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.1582162380218506,6.297382831573486,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.778623342514038,7.0248565673828125,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.4724591970443726,6.966736555099487,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.533953309059143,5.961800813674927,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.5767462253570557,7.041059255599976,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.5321544408798218,6.882152557373047,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.8513998985290527,6.897904634475708,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.457028031349182,7.457102060317993,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.2789288759231567,7.771741390228271,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.7251379489898682,7.773144006729126,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.3303724527359009,7.7688844203948975,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,2.019209146499634,6.837766170501709,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.3174457550048828,6.83935284614563,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.491948485374451,6.836618423461914,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.5957680940628052,6.838902950286865,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.4138284921646118,7.736275196075439,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.6179678440093994,7.738628625869751,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.5026640892028809,7.804412126541138,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.430524230003357,7.790753841400146,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.7052950859069824,6.892921686172485,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.7608742713928225,6.791509628295898,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.5268107652664185,6.13640570640564,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.9012407064437864,5.852156400680542,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.677534103393555,6.49446439743042,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.4797133207321167,6.325292587280273,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.390359878540039,6.5634520053863525,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,2.5576560497283936,7.167596340179443,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.3483994007110596,6.5431530475616455,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.2178038358688354,6.512606143951416,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.6559399366378784,6.6254723072052,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.658901572227478,6.444012880325317,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.567387342453003,6.78664493560791,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.348934769630432,6.880488395690918,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.4277464151382446,6.330780267715454,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,2.0622828006744385,6.798643112182617,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.7108769416809082,6.459388256072998,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.1592066287994385,5.671696186065674,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.644334077835083,6.471829891204834,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.6223217248916626,6.224173545837402,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.4674010276794434,7.419011354446411,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.7523469924926758,6.5706892013549805,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.322126388549805,6.866886854171753,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.431806564331055,6.407379627227783,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.6078379154205322,5.693617343902588,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.6285101175308228,5.649996757507324,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.4311740398406982,5.75483512878418,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.8815356492996216,7.372046232223511,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.4771872758865356,6.243124723434448,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.7305880784988403,6.544335126876831,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.3929704427719116,6.263976812362671,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.7443156242370603,6.345625638961792,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.5312411785125732,6.11081337928772,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.4806135892868042,6.695294618606567,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.658734679222107,6.277124404907227,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,2.432600498199463,7.00848388671875,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.3760606050491333,7.742509841918945,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.5304871797561646,7.762818098068237,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.647553563117981,8.578902959823608,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.633881688117981,7.464123964309692,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.324604034423828,8.947161674499512,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.9943859577178955,8.969226121902466,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.5760881900787354,6.762470006942749,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.5394266843795776,6.862642526626587,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.1720185279846191,7.736252307891846,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.4310238361358645,7.721107959747314,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.2445544004440308,8.362733840942383,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.6253564357757568,7.739312410354614,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.6849312782287598,6.99100136756897,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.4342824220657349,5.589058876037598,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.736972093582153,5.835838794708252,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.8845480680465696,5.704877614974976,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.2362715005874634,6.738368511199951,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.4034689664840698,7.234283447265625,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.4086003303527832,8.150404453277588,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.2883766889572144,7.453970670700073,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.6864385604858398,5.9662628173828125,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.2692869901657104,5.903414726257324,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.524465560913086,6.064876556396484,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.692424178123474,6.400790929794312,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.2859176397323608,7.398839950561523,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.4338815212249756,7.44634222984314,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.0870890617370603,7.241708755493164,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,2.118581533432007,7.279876708984375,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.7663692235946655,6.132429361343384,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.3696342706680298,6.618156909942627,GConvGRU
