,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
174,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7260799407958984,141.59088563919067,GConvGRU
175,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7274993658065796,144.37274312973022,GConvGRU
180,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7321842908859253,115.31246614456175,GConvGRU
181,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7313078045845032,114.46521639823914,GConvGRU
186,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7334505915641785,137.29283475875854,GConvGRU
187,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7368687987327576,142.15740442276,GConvGRU
192,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7380110025405884,114.18351793289185,GConvGRU
193,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7195584774017334,117.16115283966064,GConvGRU
198,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7351554036140442,142.61603617668152,GConvGRU
199,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7273588180541992,135.14889097213745,GConvGRU
204,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7251812815666199,115.26871418952942,GConvGRU
205,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7313116192817688,112.94118309020996,GConvGRU
210,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7331045269966125,132.1457498073578,GConvGRU
211,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7369548678398132,132.40560579299927,GConvGRU
216,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7286431789398193,117.45335602760316,GConvGRU
217,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7334668636322021,119.943119764328,GConvGRU
222,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7362338900566101,137.51096272468567,GConvGRU
223,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.733587920665741,134.7251193523407,GConvGRU
228,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7227911949157715,114.57131457328796,GConvGRU
229,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7283470630645752,116.07974362373352,GConvGRU
234,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7306947112083435,139.06660294532776,GConvGRU
235,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7226005792617798,138.75199723243713,GConvGRU
240,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7289542555809021,115.752028465271,GConvGRU
241,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7310089468955994,117.10387682914734,GConvGRU
246,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7386780381202698,139.28727746009827,GConvGRU
247,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7261866331100464,138.01865029335022,GConvGRU
252,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7361403107643127,113.93610191345216,GConvGRU
253,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7340672612190247,114.56701397895812,GConvGRU
258,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7355919480323792,135.34678316116333,GConvGRU
259,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7250248789787292,135.47293281555176,GConvGRU
264,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7257966995239258,118.7392032146454,GConvGRU
265,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.73926842212677,117.22876906394958,GConvGRU
270,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7294276356697083,143.92186069488525,GConvGRU
271,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7291637659072876,132.38614654541016,GConvGRU
276,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7320314645767212,117.7560577392578,GConvGRU
277,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7326494455337524,113.82670736312866,GConvGRU
282,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.732787549495697,133.3754105567932,GConvGRU
283,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7272935509681702,137.61038088798523,GConvGRU
288,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7420529723167419,119.50718307495116,GConvGRU
289,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7364314198493958,119.3285403251648,GConvGRU
294,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7238622903823853,139.9443392753601,GConvGRU
295,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7273985147476196,131.52583527565002,GConvGRU
300,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7302868962287903,114.87584805488586,GConvGRU
301,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7292824387550354,115.24209427833556,GConvGRU
306,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7416399121284485,136.04070663452148,GConvGRU
307,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7401279211044312,139.83297061920166,GConvGRU
312,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7252109050750732,116.72397589683531,GConvGRU
313,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7247440218925476,114.0068337917328,GConvGRU
318,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7311406135559082,138.183331489563,GConvGRU
319,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7333402037620544,135.63950610160828,GConvGRU
324,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7309229373931885,113.67155456542967,GConvGRU
325,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7424014806747437,118.0912618637085,GConvGRU
330,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7235376238822937,144.73457217216492,GConvGRU
331,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7237317562103271,143.10855770111084,GConvGRU
336,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7313875555992126,115.82561326026917,GConvGRU
337,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7426066398620605,114.27521848678587,GConvGRU
342,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7418270111083984,132.9845974445343,GConvGRU
343,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7263410091400146,136.21679210662842,GConvGRU
348,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7295742034912109,119.32477402687071,GConvGRU
349,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7277364134788513,119.72019600868224,GConvGRU
354,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7347076535224915,140.128897190094,GConvGRU
355,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7399277091026306,135.2685673236847,GConvGRU
3426,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.186692476272583,77.01814389228821,GConvLSTM
3427,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1020724773406982,66.80395793914795,GConvLSTM
3428,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1333671808242798,53.04448914527893,GConvLSTM
3429,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1716729402542114,37.74659299850464,GConvLSTM
3430,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1289823055267334,75.52084040641785,GConvLSTM
3431,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.0983078479766846,72.3970160484314,GConvLSTM
3432,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1012054681777954,60.85750365257263,GConvLSTM
3433,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1365896463394165,49.0638108253479,GConvLSTM
3434,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.101925492286682,81.54378962516785,GConvLSTM
3435,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1571537256240845,66.41469955444336,GConvLSTM
3436,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.17912495136261,50.02739858627319,GConvLSTM
3437,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.0957326889038086,40.76997232437134,GConvLSTM
3438,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1739656925201416,76.67564558982849,GConvLSTM
3439,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1210007667541504,70.37847328186035,GConvLSTM
3440,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.108482837677002,59.09080171585083,GConvLSTM
3441,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1126388311386108,53.18103456497192,GConvLSTM
3442,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.097760796546936,79.45640850067139,GConvLSTM
3443,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.0801048278808594,65.20276522636414,GConvLSTM
3444,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1978765726089478,47.216389179229736,GConvLSTM
3445,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1124595403671265,43.31762027740479,GConvLSTM
3446,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1458860635757446,77.20845913887024,GConvLSTM
3447,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1117384433746338,69.82058143615723,GConvLSTM
3448,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.083253264427185,56.02965331077576,GConvLSTM
3449,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.2111482620239258,57.96916484832764,GConvLSTM
3450,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1218905448913574,81.9830436706543,GConvLSTM
3451,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1782641410827637,61.367440700531006,GConvLSTM
3452,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.158159613609314,44.1151237487793,GConvLSTM
3453,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.161616325378418,45.21403217315674,GConvLSTM
3454,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1019498109817505,77.43311429023743,GConvLSTM
3455,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1822171211242676,69.10550141334534,GConvLSTM
3456,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.0906367301940918,54.99506235122681,GConvLSTM
3457,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.151248335838318,61.50028085708618,GConvLSTM
3458,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1116348505020142,80.6644332408905,GConvLSTM
3459,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1053928136825562,63.13263297080994,GConvLSTM
3460,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.0929276943206787,41.21815133094788,GConvLSTM
