dataset,method,mrate,mtype,lags,nof_filters,batch_size,inter_method,epoch,mse,calculation_time
0829fivenodes,STGCN,0.7,rand,8,12,16,linear,5,1.2361021041870117,5.516077756881714
0829fivenodes,IT-STGCN,0.7,rand,8,12,16,linear,5,1.1724045276641846,50.39668250083923
